corrected_grade,COURSE_NAME,COURSE_NUMBER,grade_type,inc_ovrdue?,inc_pfa?,inc_project?,LETTER_GRADE,stu_crs_lookup,STUDENT_ID,Max. ADDL_EXPECTED_PCNT,Max. COG_SKILL_PCNT,Max. CONCEPT_PCNT,Max. NUM_PROJECTS_OVERDUE,Max. OVERALL_SCORE,Max. POWER_EXPECTED_PCNT
P,Education Pathways,I191,pnp_elec,FALSE,FALSE,FALSE,B,30566 I191,30566,100,77,,0,84,100
B,RA-AP US History,A300,project,FALSE,FALSE,FALSE,B,30568 A300,30568,38,85,,0,84,100
B,RA-AP English Language,B300,project,FALSE,FALSE,FALSE,B,30568 B300,30568,100,76,,0,83,100
B,RA-Math III,C320,project,FALSE,FALSE,FALSE,B,30568 C320,30568,28,85,89,0,85,100
B+,RA-Chemistry 11th,D200,project,FALSE,FALSE,FALSE,B+,30568 D200,30568,50,88,,0,87,100
B+,RA-Spanish 3,E300,project,FALSE,FALSE,FALSE,B+,30568 E300,30568,0,,,0,88,100
P,College Readiness- CA,I136,pnp_elec,FALSE,FALSE,FALSE,B-,30568 I136,30568,100,73,,0,81,100
P,Education Pathways,I191,pnp_elec,FALSE,FALSE,FALSE,B+,30568 I191,30568,100,81,,0,87,100
A-,RA-AP US History,A300,project,FALSE,FALSE,FALSE,A-,30569 A300,30569,38,96,,0,92,100
B-,RA-AP English Language,B300,project,FALSE,FALSE,FALSE,B-,30569 B300,30569,0,86,,0,81,100
B,RA-Math III,C320,project,FALSE,FALSE,FALSE,B,30569 C320,30569,0,93,89,0,85,100
B,RA-Chemistry 11th,D200,project,FALSE,FALSE,FALSE,B,30569 D200,30569,0,93,,0,86,100
A-,RA-Spanish 3,E300,project,FALSE,FALSE,FALSE,A-,30569 E300,30569,0,,,0,91,100
P,College Readiness- CA,I136,pnp_elec,FALSE,FALSE,FALSE,A,30569 I136,30569,100,92,,0,94,100
P,Modern Acting & Theater (E),I267,pnp_elec,FALSE,FALSE,FALSE,A+,30569 I267,30569,100,,,0,100,100
I,RA-AP US History,A300,project,FALSE,TRUE,FALSE,I,30570 A300,30570,7,83,,0,78,93
I,RA-AP English Language,B300,project,FALSE,TRUE,FALSE,I,30570 B300,30570,0,79,,0,75,92
B,RA-Math III,C320,project,FALSE,FALSE,FALSE,B,30570 C320,30570,0,93,87,0,84,100
I,RA-Spanish 3,E300,project,FALSE,TRUE,FALSE,I,30570 E300,30570,0,,,0,83,83
A+,Sociology of Law,G102,a_f_elec,FALSE,FALSE,FALSE,A+,30570 G102,30570,100,100,,0,100,100
P,College Readiness- CA,I136,pnp_elec,FALSE,FALSE,FALSE,A-,30570 I136,30570,100,86,,0,90,100
,Teaching Assistant (all courses) (E),I136,pnp_elec,FALSE,FALSE,FALSE,,30570 I136,30570,,,,0,,
A+,RA-AP US History,A300,project,FALSE,FALSE,FALSE,A+,30571 A300,30571,100,97,,0,98,100
A,RA-AP English Language,B300,project,FALSE,FALSE,FALSE,A,30571 B300,30571,100,90,,0,93,100
A+,RA-Math III,C320,project,FALSE,FALSE,FALSE,A+,30571 C320,30571,85,96,100,0,98,100
A,RA-Chemistry 11th,D200,project,FALSE,FALSE,FALSE,A,30571 D200,30571,50,99,,0,95,100
A,RA-Spanish 3,E300,project,FALSE,FALSE,FALSE,A,30571 E300,30571,50,,,0,96,100
P,College Readiness- CA,I136,pnp_elec,FALSE,FALSE,FALSE,A,30571 I136,30571,100,92,,0,94,100
P,Psychology Exploration - RA,I1103,pnp_elec,FALSE,FALSE,FALSE,A-,30571 I1103,30571,0,100,,0,91,100
B-,RA-AP US History,A300,project,FALSE,FALSE,FALSE,B-,30574 A300,30574,7,86,,0,82,100
B-,RA-AP English Language,B300,project,FALSE,FALSE,FALSE,B-,30574 B300,30574,100,74,,0,82,100
B+,RA-Math III,C320,project,FALSE,FALSE,FALSE,B+,30574 C320,30574,42,87,93,0,88,100
B-,RA-Chemistry 11th,D200,project,FALSE,FALSE,FALSE,B-,30574 D200,30574,0,85,,0,81,100
