corrected_grade,COURSE_NAME,COURSE_NUMBER,date_of_pull,grade_type,inc_reason,LETTER_GRADE,SIS_SECTION_ID,stu_crs_lookup,STUDENT_ID,Max. ADDL_EXPECTED_PCNT,Max. COG_SKILL_PCNT,Max. CONCEPT_PCNT,Max. NUM_PROJECTS_OVERDUE,Max. OVERALL_SCORE,Max. POWER_EXPECTED_PCNT
B-,SP-AP Government,A400,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B-,76799_2017-08-15,11524 A400,11524,20,83,,0,81,100
B+,SP-AP English Literature,B400,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B+,76850_2017-08-15,11524 B400,11524,50,88,,0,87,100
C,SP-AP Statistics,C420,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],C,76845_2017-08-15,11524 C420,11524,0,78,75,0,74,100
B,SP-AP Environmental Science,D430,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B,76891_2017-08-15,11524 D430,11524,0,90,,0,84,100
P,Internship,I139,6/15/2018 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B+,81179_2017-08-15,11524 I139,11524,100,83,,0,88,100
A+,SP-AP Government,A400,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,76810_2017-08-15,11525 A400,11525,100,97,,0,98,100
A+,SP-AP English Literature,B400,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,76850_2017-08-15,11525 B400,11525,100,99,,0,99,100
A+,SP-AP Calculus AB,C400,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,81125_2017-08-15,11525 C400,11525,100,96,99,0,98,100
A+,SP-AP Environmental Science,D430,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,76802_2017-08-15,11525 D430,11525,100,100,,0,100,100
A+,SP-AP Spanish Language,E400,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,81836_2017-08-15,11525 E400,11525,100,,,0,100,100
P,Independent Study,I106,6/15/2018 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A-,81169_2017-08-15,11525 I106,11525,100,89,,0,92,100
B-,SP-AP Government,A400,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B-,76890_2017-08-15,11526 A400,11526,0,85,,0,81,100
B-,SP-AP English Literature,B400,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B-,76855_2017-08-15,11526 B400,11526,16,83,,0,81,100
C,SP-AP Statistics,C420,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],C,76846_2017-08-15,11526 C420,11526,0,86,73,0,76,100
B-,SP-AP Environmental Science,D430,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B-,76802_2017-08-15,11526 D430,11526,53,80,,0,82,100
B-,SP-AP Environmental Science,D430,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B-,76847_2017-08-15,11526 D430,11526,53,80,,0,82,100
B,SP-AP Spanish Language,E400,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B,76804_2017-08-15,11526 E400,11526,0,,,0,83,100
A+,Entrepreneurship,G022,6/15/2018 12:00:00 AM,a_f_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,81158_2017-08-15,11526 G022,11526,100,100,,0,100,100
A-,Intro to Programming,I1106ICS,6/15/2018 12:00:00 AM,a_f_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A-,81160_2017-08-15,11526 G103,11526,25,95,,0,90,100
A-,SP-AP Government,A400,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A-,76810_2017-08-15,11527 A400,11527,60,92,,0,91,100
A-,SP-AP English Literature,B400,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A-,76844_2017-08-15,11527 B400,11527,66,90,,0,90,100
B+,SP-AP Statistics,C420,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B+,76813_2017-08-15,11527 C420,11527,33,83,96,0,87,100
A,SP-AP Environmental Science,D430,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A,76802_2017-08-15,11527 D430,11527,53,96,,0,93,100
